ID	UMAP_embedding1	UMAP_embedding2
sample406	1.1141709	3.7585754
sample407	8.517611	7.703894
sample408	0.6312111	3.4798331
sample409	2.5143194	5.3531265
sample410	8.259727	4.1901913
sample411	7.679523	0.71498305
sample412	8.786222	7.752626
sample413	1.2772146	3.579676
sample414	-0.19280434	0.114580564
sample415	3.6165888	7.07103
sample416	9.290646	7.777987
sample417	0.16743006	0.7789162
sample418	3.327314	-0.14410618
sample419	0.19944854	0.5293572
sample420	8.784349	7.284246
sample421	8.416568	7.6914706
sample422	11.039419	1.2346781
sample423	5.503453	0.58965707
sample424	1.3514475	-0.5646569
sample425	5.3761683	-1.5119039
sample426	1.9578232	-0.19635753
sample427	8.452068	-0.50016826
sample428	7.3828807	-0.510701
sample429	6.53236	-0.31325376
sample430	5.0864916	5.952408
sample431	9.270045	7.3582883
sample432	5.329839	-1.481796
sample433	3.0236206	3.4965775
sample434	0.43226326	3.6372557
sample435	10.93517	2.4787683
sample436	5.777014	-1.3670315
sample437	8.838417	3.927012
sample438	11.010415	0.8415597
sample439	2.3788886	-0.2504355
sample440	2.4914591	-0.16063671
sample441	10.367775	0.38445127
sample442	-0.18580012	2.3614194
sample443	10.163035	3.9198272
sample444	1.6681945	6.4853644
sample445	10.711657	3.0191927
sample446	3.7083528	7.0939736
sample447	9.4903145	2.0571213
sample448	5.0964108	-0.53508276
sample449	9.613519	0.24643163
sample450	4.922443	-0.77767116
sample451	11.039604	1.0339658
sample452	9.330959	6.78005
sample453	9.293295	5.3552594
sample454	9.342271	7.75117
sample455	2.8028045	3.4469233
sample456	9.698049	1.9465923
sample457	-0.19739488	2.1383564
sample458	7.7172203	0.78446937
sample459	0.21840201	4.996798
sample460	9.530172	2.3145223
sample461	0.107202426	4.7298427
sample462	6.3471546	-0.3467399
sample463	0.26359785	4.1482625
sample464	0.37555748	5.2830853
sample465	1.2320517	5.5021057
sample466	5.363956	-1.5271015
sample467	8.527917	4.393552
sample468	0.008504456	4.2618594
sample469	4.514254	6.373796
sample470	1.233914	-0.08932023
sample471	10.499382	3.1254623
sample472	3.7180007	0.8762802
sample473	9.365488	1.3398634
sample474	10.822365	3.312781
sample475	10.505992	3.3888607
sample476	8.632286	4.5477223
sample477	6.5974483	1.2966783
sample478	3.5714736	0.61843276
sample479	-0.13617481	0.16748187
sample480	2.3600845	5.5248523
sample481	5.41519	3.4781845
sample482	9.937993	1.4663898
sample483	9.169883	8.036017
sample484	10.395507	0.26704147
sample485	3.6565087	3.3875968
sample486	3.5402687	-0.19844313
sample487	7.293194	-0.041865963
sample488	4.025052	6.805749
sample489	10.607315	0.44913143
sample490	2.2474282	-0.17904626
sample491	0.42231366	3.2780027
sample492	7.063126	1.0886265
sample493	3.6957138	0.84656745
sample494	6.958659	0.74833196
sample495	3.6840665	0.5683099
sample496	9.660327	0.33339334
sample497	9.538496	7.069471
sample498	1.9253255	-0.599668
sample499	8.756306	7.5715175
sample500	6.6819525	3.6067162
